iteracion,train_acc_final,test_acc_final
1,0.8873333333333333,0.8893
2,0.8880333333333333,0.8905
3,0.8906666666666667,0.8939
4,0.8923333333333333,0.8948
5,0.89,0.8901
6,0.8819,0.8832
7,0.88835,0.8889
8,0.8911333333333333,0.89
9,0.887,0.8877
10,0.8933333333333333,0.8947
11,0.8922,0.8942
12,0.8919,0.8921
13,0.89025,0.8909
14,0.8904,0.8907
15,0.8867166666666667,0.8892
16,0.8908,0.891
17,0.8917833333333334,0.8942
18,0.8959833333333334,0.8965
19,0.8797666666666667,0.8818
20,0.8923833333333333,0.8937
